rider_name,year,pcs_points
yecid sierra,2019,124.0
clement champoussin,2019,123.0
cyril barthe,2019,123.0
elcin asadov,2019,123.0
enrico battaglin,2019,123.0
grzegorz stepniak,2019,123.0
michael storer,2019,123.0
manuele boaro,2019,122.0
mohammad ganjkhanlou,2019,122.0
nicola conci,2019,122.0
riccardo stacchiotti,2019,122.0
paul martens,2019,121.0
tim declercq,2019,121.0
edward planckaert,2019,120.0
georgios bouglas,2019,120.0
huub duijn,2019,120.0
sirak tesfom,2019,120.0
etienne van empel,2019,119.0
patryk stosz,2019,119.0
connor swift,2019,118.0
otto vergaerde,2019,118.0
